2.9815 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice'] (in that order).
22.2455 	EXP 	Created fixation = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='fixation', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text='+', units='height', win=Window(...), wrapWidth=1)
22.2457 	EXP 	Sound sound_1 set volume 1.000
22.2588 	EXP 	Created thank_you = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='thank_you', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
22.2769 	EXP 	instructions: autoDraw = True
31.9600 	EXP 	Imported aud_conditions.xlsx as conditions, 6 conditions, 4 params
31.9606 	EXP 	Created sequence: fullRandom, trialTypes=6, nReps=1, seed=None
31.9609 	EXP 	New trial (rep=0, index=0): {'trial': 'target', 'file': "soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav'", 'corrAns': 't', 'tone': 1200}
31.9650 	DATA 	Keypress: space
31.9775 	EXP 	instructions: autoDraw = False
31.9775 	EXP 	fixation: autoDraw = True
32.9590 	EXP 	New trial (rep=0, index=1): {'trial': 'standard', 'file': "soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav'", 'corrAns': 'None', 'tone': 1000}
32.9787 	EXP 	fixation: autoDraw = False
32.9787 	EXP 	fixation: autoDraw = True
33.9587 	EXP 	New trial (rep=0, index=2): {'trial': 'standard', 'file': "soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav'", 'corrAns': 'None', 'tone': 1000}
33.9816 	EXP 	fixation: autoDraw = False
33.9816 	EXP 	fixation: autoDraw = True
34.9637 	EXP 	New trial (rep=0, index=3): {'trial': 'standard', 'file': "soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav'", 'corrAns': 'None', 'tone': 1000}
34.9745 	EXP 	fixation: autoDraw = False
34.9745 	EXP 	fixation: autoDraw = True
35.9566 	EXP 	New trial (rep=0, index=4): {'trial': 'standard', 'file': "soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav'", 'corrAns': 'None', 'tone': 1000}
35.9762 	EXP 	fixation: autoDraw = False
35.9762 	EXP 	fixation: autoDraw = True
36.9552 	EXP 	New trial (rep=0, index=5): {'trial': 'standard', 'file': "soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav'", 'corrAns': 'None', 'tone': 1000}
36.9761 	EXP 	fixation: autoDraw = False
36.9761 	EXP 	fixation: autoDraw = True
37.9706 	EXP 	fixation: autoDraw = False
37.9706 	EXP 	instructions_2: autoDraw = True
39.5337 	EXP 	Imported aud_conditions.xlsx as conditions, 6 conditions, 4 params
39.5344 	EXP 	Created sequence: fullRandom, trialTypes=6, nReps=1, seed=42
39.5347 	EXP 	New trial (rep=0, index=0): {'trial': 'target', 'file': "soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav'", 'corrAns': 't', 'tone': 1200}
39.5390 	DATA 	Keypress: space
39.5537 	EXP 	instructions_2: autoDraw = False
39.5537 	EXP 	fixation: autoDraw = True
40.5410 	EXP 	New trial (rep=0, index=1): {'trial': 'standard', 'file': "soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav'", 'corrAns': 'None', 'tone': 1000}
40.5514 	EXP 	fixation: autoDraw = False
40.5514 	EXP 	fixation: autoDraw = True
41.5353 	EXP 	New trial (rep=0, index=2): {'trial': 'standard', 'file': "soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav'", 'corrAns': 'None', 'tone': 1000}
41.5541 	EXP 	fixation: autoDraw = False
41.5541 	EXP 	fixation: autoDraw = True
42.5398 	EXP 	New trial (rep=0, index=3): {'trial': 'standard', 'file': "soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav'", 'corrAns': 'None', 'tone': 1000}
42.5501 	EXP 	fixation: autoDraw = False
42.5501 	EXP 	fixation: autoDraw = True
43.5337 	EXP 	New trial (rep=0, index=4): {'trial': 'standard', 'file': "soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav'", 'corrAns': 'None', 'tone': 1000}
43.5527 	EXP 	fixation: autoDraw = False
43.5527 	EXP 	fixation: autoDraw = True
44.5360 	EXP 	New trial (rep=0, index=5): {'trial': 'standard', 'file': "soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav'", 'corrAns': 'None', 'tone': 1000}
44.5491 	EXP 	fixation: autoDraw = False
44.5491 	EXP 	fixation: autoDraw = True
45.5501 	EXP 	fixation: autoDraw = False
45.5501 	EXP 	thank_you: autoDraw = True
48.5645 	EXP 	thank_you: autoDraw = False
55.7075 	DATA 	Keypress: escape
56.5294 	EXP 	window1: mouseVisible = True
