2.8745 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice'] (in that order).
22.0652 	EXP 	Created fixation = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='fixation', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text='open', units='height', win=Window(...), wrapWidth=1)
22.0819 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='-----------------Eyes closed----------------', units='height', win=Window(...), wrapWidth=1)
22.3856 	EXP 	Sound sound_1 set volume 1.000
22.3969 	EXP 	Created thank_you = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='thank_you', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
22.4112 	EXP 	instructions: autoDraw = True
188.7887 	DATA 	Keypress: space
188.8007 	EXP 	Created sequence: sequential, trialTypes=1, nReps=5, seed=None
188.8010 	EXP 	New trial (rep=0, index=0): None
188.8156 	EXP 	instructions: autoDraw = False
188.8156 	EXP 	fixation: autoDraw = True
248.8102 	EXP 	text: autoDraw = True
248.8260 	EXP 	fixation: autoDraw = False
308.8210 	EXP 	text: autoDraw = False
309.7869 	EXP 	New trial (rep=1, index=0): None
309.8034 	EXP 	fixation: autoDraw = False
309.8034 	EXP 	text: autoDraw = False
309.8034 	EXP 	fixation: autoDraw = True
369.8132 	EXP 	fixation: autoDraw = False
369.8132 	EXP 	text: autoDraw = True
429.8246 	EXP 	text: autoDraw = False
430.7907 	EXP 	New trial (rep=2, index=0): None
430.8073 	EXP 	fixation: autoDraw = False
430.8073 	EXP 	text: autoDraw = False
430.8073 	EXP 	fixation: autoDraw = True
490.8004 	EXP 	text: autoDraw = True
490.8185 	EXP 	fixation: autoDraw = False
550.8152 	EXP 	text: autoDraw = False
551.7942 	EXP 	New trial (rep=3, index=0): None
551.8138 	EXP 	fixation: autoDraw = False
551.8138 	EXP 	text: autoDraw = False
551.8138 	EXP 	fixation: autoDraw = True
611.8041 	EXP 	text: autoDraw = True
611.8209 	EXP 	fixation: autoDraw = False
671.8143 	EXP 	text: autoDraw = False
672.8143 	EXP 	New trial (rep=4, index=0): None
672.8332 	EXP 	fixation: autoDraw = False
672.8332 	EXP 	text: autoDraw = False
672.8332 	EXP 	fixation: autoDraw = True
732.8082 	EXP 	text: autoDraw = True
732.8408 	EXP 	fixation: autoDraw = False
792.8184 	EXP 	text: autoDraw = False
793.8008 	EXP 	fixation: autoDraw = False
793.8008 	EXP 	text: autoDraw = False
793.8008 	EXP 	thank_you: autoDraw = True
796.8151 	EXP 	thank_you: autoDraw = False
828.3533 	DATA 	Keypress: escape
828.8949 	EXP 	window1: mouseVisible = True
